x,y
-9.5,-18.615967564796016
-8.5,-18.84790477132558
-7.5,-19.030286708741155
-6.5,-19.158255175095714
-5.5,-19.238721447688768
-4.5,-19.284480904425358
-3.5,-19.307901213346927
-2.5,-19.318491352198137
-1.5,-19.32256790359331
-0.5,-19.32378731201154
0.5,-19.323787312011596
1.5,-19.32256790359338
2.5,-19.318491352198127
3.5,-19.307901213346923
4.5,-19.284480904425408
5.5,-19.238721447688786
6.5,-19.15825517509572
7.5,-19.030286708741198
8.5,-18.8479047713257
9.5,-18.615967564796108
9.921406865923913,-18.5
10.5,-18.34299065329584
11.5,-18.000520956493673
12.5,-17.565907898525065
12.62797399371371,-17.5
13.5,-17.03167694108525
14.286613764913973,-16.5
14.5,-16.34563895481447
15.462386943277197,-15.5
15.5,-15.462386943277194
16.34563895481448,-14.5
16.5,-14.286613764914042
17.031676941085387,-13.5
17.5,-12.627973993714123
17.565907898525293,-12.5
18.00052095649398,-11.5
18.342990653296205,-10.5
18.5,-9.921406865925327
18.61596756479651,-9.5
18.8479047713261,-8.5
19.030286708741603,-7.5
19.158255175096052,-6.5
19.238721447689016,-5.5
19.28448090442558,-4.5
19.307901213347037,-3.5
19.31849135219822,-2.5
19.32256790359342,-1.5
19.32378731201157,-0.5
19.32378731201148,0.5
19.322567903593207,1.5
19.318491352198006,2.5
19.307901213346884,3.5
19.284480904425426,4.5
19.238721447688942,5.5
19.158255175096027,6.5
19.030286708741627,7.5
18.84790477132615,8.5
18.615967564796485,9.5
18.5,9.921406865925174
18.342990653296148,10.5
18.000520956493833,11.5
17.565907898525026,12.5
17.5,12.627973993713606
17.031676941085106,13.5
16.5,14.286613764913689
16.345638954814245,14.5
15.5,15.462386943277007
15.462386943277007,15.5
14.5,16.345638954814348
14.286613764913856,16.5
13.5,17.031676941085262
12.627973993713747,17.5
12.5,17.565907898525094
11.5,18.000520956493794
10.5,18.34299065329609
9.921406865925064,18.5
9.5,18.615967564796456
8.5,18.847904771326014
7.5,19.030286708741475
6.5,19.158255175095906
5.5,19.23872144768883
4.5,19.284480904425337
3.5,19.30790121334678
2.5,19.31849135219789
1.5,19.322567903593036
0.5,19.323787312011323
-0.5,19.323787312011387
-1.5,19.32256790359331
-2.5,19.318491352198286
-3.5,19.30790121334719
-4.5,19.284480904425678
-5.5,19.238721447689066
-6.5,19.15825517509609
-7.5,19.030286708741713
-8.5,18.847904771326228
-9.5,18.61596756479663
-9.921406865925722,18.5
-10.5,18.34299065329629
-11.5,18.000520956494086
-12.5,17.56590789852532
-12.627973993714171,17.5
-13.5,17.03167694108538
-14.286613764913962,16.5
-14.5,16.345638954814405
-15.462386943277023,15.5
-15.5,15.462386943277023
-16.34563895481429,14.5
-16.5,14.286613764913753
-17.03167694108516,13.5
-17.5,12.627973993713736
-17.56590789852509,12.5
-18.000520956493773,11.5
-18.342990653296035,10.5
-18.5,9.921406865924908
-18.615967564796417,9.5
-18.847904771325954,8.5
-19.030286708741436,7.5
-19.15825517509586,6.5
-19.23872144768888,5.5
-19.284480904425525,4.5
-19.30790121334713,3.5
-19.318491352198308,2.5
-19.322567903593406,1.5
-19.32378731201149,0.5
-19.32378731201132,-0.5
-19.322567903593022,-1.5
-19.318491352197867,-2.5
-19.307901213346746,-3.5
-19.284480904425294,-4.5
-19.238721447688775,-5.5
-19.15825517509589,-6.5
-19.03028670874153,-7.5
-18.847904771326153,-8.5
-18.615967564796534,-9.5
-18.5,-9.921406865925306
-18.342990653296138,-10.5
-18.00052095649381,-11.5
-17.565907898525055,-12.500000000000002
-17.5,-12.62797399371365
-17.03167694108507,-13.5
-16.5,-14.286613764913525
-16.345638954814092,-14.5
-15.5,-15.462386943276709
-15.462386943276707,-15.5
-14.5,-16.345638954814035
-14.28661376491343,-16.5
-13.5,-17.031676941084996
-12.627973993713518,-17.5
-12.5,-17.56590789852498
-11.5,-18.00052095649363
-10.5,-18.342990653295814
-9.921406865923673,-18.5
-9.5,-18.615967564796016
