a_01,a_10,a_d,elastic_free_energy,gradient_free_energy,precipitate_area,time,total_free_energy
19.97429316515008,19.974293165149973,20.140688631434397,6.185957746168657,4.510418048831537,1264.0,0.1,17.72178588199252
19.415175088292713,19.41517508829292,20.468866419969945,5.952085491062702,2.491114940247477,1240.0,10.100000000000001,17.21719559222054
19.356860514724836,19.356860514724822,20.832664489847648,5.984563729282033,2.498529609412713,1268.0,20.1,17.200774189871208
19.342933704676735,19.342933704676287,21.08657605203928,6.022324264614702,2.5174703876103015,1268.0,30.1,17.187638268123063
19.335106074559185,19.335106074559103,21.260739004578983,6.061870205172447,2.5382649074711554,1276.0,40.1,17.177651424432106
19.330922881753636,19.330922881753754,21.422680944547402,6.102221332621231,2.5591485964089538,1300.0,50.1,17.169667816535988
19.328203791971212,19.328203791971266,21.586725689966187,6.142485191095283,2.5812656146877817,1300.0,60.1,17.162214691192606
19.325653677256163,19.325653677256074,21.747809828784785,6.182624688668182,2.6057697152548127,1308.0,70.10000000000001,17.15523094543733
19.32380661609331,19.323806616093524,21.8909810349293,6.223278910929109,2.631166059657567,1316.0,80.10000000000001,17.15101503276565
19.323775760558505,19.32377576055851,22.02782145118135,6.2641783826786135,2.6556340287073996,1328.0,90.10000000000001,17.15011120915397
19.32495610716073,19.32495610716076,22.183667056249597,6.304749996479469,2.6797490248841034,1336.0,100.10000000000001,17.151353675457983
19.326492750764036,19.326492750764412,22.356786280059847,6.3453393637928075,2.705966025763833,1344.0,110.10000000000001,17.154025701914634
19.329348014452137,19.329348014452265,22.518052652474637,6.386940157525418,2.734187417433071,1352.0,120.10000000000001,17.160206667470078
19.3364248368566,19.336424836856864,22.67699178199363,6.4292554953746714,2.761340214411714,1360.0,130.1,17.171127490217483
19.347224932937305,19.347224932937376,22.869923357634836,6.471391138501239,2.7864880155748852,1368.0,140.1,17.185014493492933
19.35859471185808,19.35859471185799,23.081174315241544,6.513839448123535,2.8139169876421337,1376.0,150.1,17.20031479654238
19.37542351479277,19.37542351479287,23.272985305113806,6.557702867537744,2.841764182269345,1376.0,160.10000000000002,17.220680964996063
19.403680547736077,19.403680547735952,23.448638755928148,6.601264779067592,2.862659780381096,1388.0,170.10000000000002,17.241114863559073
19.4372001942767,19.437200194276695,23.629363287382926,6.642774598168551,2.8797144087724273,1396.0,180.10000000000002,17.255359235242473
19.474434946986953,19.474434946986968,23.795207105597374,6.682827217070993,2.8952369957025597,1396.0,190.10000000000002,17.265564734079096
19.52227678914765,19.52227678914722,23.92395868146598,6.719554878946859,2.9013128161655533,1444.0,200.10000000000002,17.264908728429468
